City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,fortuna,40.5982,-124.1573,4.64,100,0,0.0,US,1703401179
214,boiling springs,35.0465,-81.9818,8.93,86,0,0.0,US,1703401491
215,taylorville,39.5489,-89.2945,10.48,100,100,3.6,US,1703401492
216,jose maria morelos,23.3952,-103.8984,6.98,91,98,3.45,MX,1703401492
217,corn island,12.1694,-83.0418,26.71,83,100,5.69,NI,1703401492
218,lander,42.833,-108.7307,-3.55,88,100,0.0,US,1703401470
219,ma'an,26.9775,110.7211,9.95,26,80,1.77,CN,1703401493
220,nogliki,51.8333,143.1667,-18.14,87,39,4.92,RU,1703401493
221,cidreira,-30.1811,-50.2056,22.36,87,86,2.27,BR,1703401494
222,terek,43.4833,44.1361,3.32,76,99,2.83,RU,1703401494
223,qaqortoq,60.7167,-46.0333,-8.31,73,100,4.01,GL,1703401152
224,east london,-33.0153,27.9116,22.52,83,75,5.14,ZA,1703401495
225,cadale,2.7603,46.3222,28.58,69,46,7.87,SO,1703401495
226,yarmouth,41.7057,-70.2286,5.57,83,75,1.54,US,1703401496
227,tosham,28.8833,75.9167,23.19,26,9,2.16,IN,1703401496
228,male,4.1748,73.5089,30.97,74,20,7.2,MV,1703401265
229,yashan,22.1975,109.9419,16.53,31,35,5.36,CN,1703401497
230,trondheim,63.4305,10.3951,-1.95,94,99,2.54,NO,1703401208
231,yinchuan,38.4681,106.2731,-3.28,44,0,0.34,CN,1703401399
232,sagua la grande,22.8067,-80.0756,20.55,82,91,4.85,CU,1703401498
233,pekan,3.4836,103.3996,28.06,90,100,4.22,MY,1703401498
234,loen,7.7601,168.2307,27.62,78,16,9.0,MH,1703401499
235,chimbote,-9.0853,-78.5783,20.61,86,81,3.14,PE,1703401420
236,dunda,-8.1167,34.25,22.92,83,100,0.73,TZ,1703401499
237,giyani,-23.3025,30.7187,29.26,52,7,2.18,ZA,1703401499
238,cacheu,12.2706,-16.1658,18.05,36,49,2.65,GW,1703401500
239,monrovia,6.3005,-10.7969,23.87,86,97,1.8,LR,1703401495
240,atafu village,-8.5421,-172.5159,29.4,74,95,4.4,TK,1703401151
241,erenhot,43.6475,111.9767,-11.97,81,4,4.1,CN,1703401501
242,sitka,57.0531,-135.33,6.94,76,100,10.29,US,1703401138
243,afaahiti,-17.75,-149.2833,23.93,85,100,5.22,PF,1703401191
244,fortaleza,-3.7227,-38.5247,27.9,83,40,4.12,BR,1703401202
245,hammerfest,70.6634,23.6821,-0.75,86,75,11.32,NO,1703401502
246,longyearbyen,78.2186,15.6401,-18.09,60,0,7.2,SJ,1703401101
247,ambodifotatra,-16.9833,49.85,30.03,70,75,1.03,MG,1703401503
248,dukku,10.8231,10.7717,17.82,26,45,3.25,NG,1703401503
249,kapuskasing,49.4169,-82.4331,2.05,93,100,3.6,CA,1703401224
250,portland,45.5234,-122.6762,5.34,88,100,4.02,US,1703401146
251,kristiansund,63.1115,7.732,-2.64,93,40,2.06,NO,1703401504
252,al ghayzah,16.2079,52.176,24.79,61,72,3.32,YE,1703401505
253,punta arenas,-53.15,-70.9167,9.06,81,75,10.8,CL,1703401138
254,margate,51.3813,1.3862,12.71,84,100,4.92,GB,1703401335
255,gereida,11.2811,25.1414,22.02,18,36,8.55,SD,1703401506
256,rawson,-43.3002,-65.1023,16.42,48,13,6.48,AR,1703401200
257,spas-klepiki,55.1347,40.1767,-2.22,95,99,4.06,RU,1703401506
258,capitao poco,-1.7464,-47.0594,23.2,98,31,2.15,BR,1703401506
259,acarau,-2.8856,-40.12,26.86,78,37,5.95,BR,1703401507
260,salekhard,66.53,66.6019,-24.14,100,100,1.25,RU,1703401507
261,kenora,49.8167,-94.4337,3.54,100,100,5.14,CA,1703401508
262,ha'il,27.5219,41.6907,9.01,71,0,3.09,SA,1703401074
263,wailua homesteads,22.0669,-159.378,23.44,79,100,8.23,US,1703401147
264,turan,16.0678,108.2208,18.99,94,75,1.54,VN,1703401508
265,kimbe,-5.5502,150.1429,26.76,90,100,1.13,PG,1703401509
266,lihue,21.9789,-159.3672,23.77,76,100,8.23,US,1703401168
267,turuntayevo,52.2,107.6167,-12.95,91,96,1.72,RU,1703401509
268,st. john's,47.5649,-52.7093,-2.69,81,40,7.2,CA,1703400987
269,san antonio de pale,-1.4014,5.6325,27.54,80,100,2.84,GQ,1703401166
270,port moresby,-9.4431,147.1797,32.68,62,40,5.14,PG,1703401328
271,ust-nera,64.5667,143.2,-41.01,99,81,1.77,RU,1703401164
272,jampur,29.6441,70.5954,24.77,19,98,2.59,PK,1703401239
273,hithadhoo,-0.6,73.0833,28.43,75,42,2.96,MV,1703401223
274,greenville,35.6127,-77.3663,2.09,100,0,0.0,US,1703401511
275,san jose,37.3394,-121.895,10.48,77,0,2.57,US,1703401078
276,laguna salada,19.6483,-71.0945,19.34,94,65,1.56,DO,1703401512
277,ulladulla,-35.35,150.4667,19.31,86,92,4.84,AU,1703401133
278,talnakh,69.4865,88.3972,-13.92,96,100,1.47,RU,1703401173
279,port alfred,-33.5906,26.891,22.32,83,99,1.34,ZA,1703400859
280,madalena,41.2162,-8.3345,5.26,82,0,1.85,PT,1703401513
281,rongelap,11.1635,166.8941,27.19,76,18,9.67,MH,1703401400
282,darwin,-12.4611,130.8418,35.03,70,20,8.75,AU,1703401354
283,holualoa,19.6228,-155.9522,20.91,86,0,3.09,US,1703401514
284,murud,18.3258,72.965,31.56,24,75,1.46,IN,1703401514
285,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,73,20,5.36,RU,1703401169
286,curuca,-0.7289,-47.8481,24.97,90,99,2.25,BR,1703401514
287,haiku-pauwela,20.9219,-156.3051,22.25,76,0,8.23,US,1703401515
288,zhosaly,45.4878,64.0781,7.02,57,29,5.66,KZ,1703401515
289,san juan,-31.5375,-68.5364,23.36,73,60,3.17,AR,1703401234
290,salinopolis,-0.6136,-47.3561,26.64,82,78,5.26,BR,1703401147
291,hamilton,39.1834,-84.5333,9.89,95,100,1.54,US,1703400913
292,north bend,43.4065,-124.2243,4.92,87,0,4.12,US,1703401516
